dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
76,2600.0,4680000.0,600000.0,598000.0,3380000.0,338000.0,310000.0,20400000.0,Subang
77,5000.0,9500000.0,6000000.0,1150000.0,6500000.0,650000.0,550000.0,38800000.0,Subang
1,4200.0,7350000.0,2295000.0,966000.0,5460000.0,546000.0,610000.0,54450000.0,Tasikmalaya
2,3900.0,7020000.0,875000.0,897000.0,5070000.0,507000.0,970000.0,50400000.0,Tasikmalaya
3,3920.0,7448000.0,600000.0,901600.0,5096000.0,509600.0,778000.0,50400000.0,Tasikmalaya
4,2272.0,3976000.0,1200000.0,522560.0,2953600.0,295360.0,417200.0,29700000.0,Tasikmalaya
5,10000.0,18000000.0,4000000.0,1500000.0,13000000.0,1300000.0,1700000.0,59400000.0,Tasikmalaya
6,1680.0,1344000.0,500000.0,386400.0,2184000.0,218400.0,526000.0,23400000.0,Tasikmalaya
7,2100.0,1470000.0,790000.0,483000.0,2730000.0,273000.0,610000.0,27900000.0,Tasikmalaya
8,7000.0,7700000.0,5000000.0,1610000.0,9100000.0,910000.0,1450000.0,94050000.0,Tasikmalaya
9,700.0,770000.0,500000.0,161000.0,910000.0,91000.0,190000.0,3410000.0,Tasikmalaya
10,3850.0,4620000.0,5000000.0,885500.0,5005000.0,500500.0,820000.0,49500000.0,Tasikmalaya
11,1680.0,1680000.0,500000.0,386400.0,2184000.0,218400.0,386000.0,23400000.0,Tasikmalaya
12,4200.0,4620000.0,5000000.0,966000.0,5460000.0,546000.0,890000.0,54450000.0,Tasikmalaya
13,2520.0,2520000.0,500000.0,579600.0,3276000.0,327600.0,292000.0,33300000.0,Tasikmalaya
14,6020.0,6020000.0,5000000.0,1384600.0,7826000.0,782600.0,1254000.0,79200000.0,Tasikmalaya
15,700.0,700000.0,500000.0,161000.0,910000.0,91000.0,190000.0,3305000.0,Tasikmalaya
