Regency,Tier,Raw_Metric,Original_Row_Index,scaled_log_metric,anomaly_label,anomaly_score,Threat_Level
Tasikmalaya,1. Farmer,12105.751391465677,70,0.3489374382347577,1,0.2720190661697826,COMPLIANT
Tasikmalaya,1. Farmer,13426.763110307415,71,0.5010785571556589,1,0.29360497348509257,COMPLIANT
Tasikmalaya,1. Farmer,13149.35064935065,72,0.4704097265648183,1,0.29737273736972114,COMPLIANT
Tasikmalaya,1. Farmer,13509.316770186335,73,0.5100828723786547,1,0.28878051672316735,COMPLIANT
Tasikmalaya,1. Farmer,11819.727891156463,74,0.31381334746204426,1,0.27145566501269086,COMPLIANT
Tasikmalaya,1. Farmer,13690.47619047619,75,0.529651007919508,1,0.28342913585992086,COMPLIANT
Tasikmalaya,1. Farmer,13095.238095238095,76,0.46435205926123635,1,0.29608044213589935,COMPLIANT
Tasikmalaya,1. Farmer,13613.44537815126,77,0.5213622696405013,1,0.28553837443187113,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,78,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,79,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13017.857142857143,80,0.4556459650382187,1,0.2969226848020018,COMPLIANT
Tasikmalaya,1. Farmer,12964.285714285714,81,0.44958830239723596,1,0.29609924518327696,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,82,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,83,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,84,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Tasikmalaya,1. Farmer,13017.857142857143,85,0.4556459650382187,1,0.2969226848020018,COMPLIANT
Tasikmalaya,1. Farmer,13757.142857142857,86,0.5367869761637851,1,0.2804381038446359,COMPLIANT
Tasikmalaya,1. Farmer,12704.081632653062,87,0.41980474761026326,1,0.28297751860122733,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,88,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13285.714285714286,89,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,90,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13017.857142857143,91,0.4556459650382187,1,0.2969226848020018,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,92,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,93,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13017.857142857143,94,0.4556459650382187,1,0.2969226848020018,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,95,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,96,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13613.44537815126,97,0.5213622696405013,1,0.28553837443187113,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,98,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,99,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,12964.285714285714,100,0.44958830239723596,1,0.29609924518327696,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,101,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,16200.0,102,0.7768988326957906,1,0.25526342823260667,COMPLIANT
Tasikmalaya,1. Farmer,13214.285714285714,103,0.4776461093991945,1,0.2980978038986688,COMPLIANT
