scaled_log_Total rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_log_Total rice purchase (kg),scaled_Total precipitation (%),scaled_Precipitation quality (%),Regency,Regency_encoded
-0.804193927011679,0.0,-0.1751671468168504,0.165956282560088,-0.9289592910519756,-0.8459880610729414,0.8823529411764706,0.851063829787234,Tasikmalaya,4
-0.5952262954974998,0.0,-0.8019936531264749,0.3690703909382519,-0.7560726943635478,-0.7690105248643322,0.0588235294117647,0.1702127659574468,Tasikmalaya,4
-0.5063718038194801,-1.0,-1.2578746121947582,-0.630929609061748,-0.7160602641790317,-0.6897113659393063,-0.2941176470588235,-0.2127659574468085,Tasikmalaya,4
-0.4889827821844218,-1.53513609059004,-1.2578746121947582,-2.7268190429029238,-0.7160602641790317,-0.6897113659393063,0.0,0.2127659574468085,Tasikmalaya,4
-0.5322403495635094,-1.0,-0.6809857783551269,-1.2618583078872612,-0.7160602641790317,-0.7283173279603762,-0.2941176470588235,-0.1702127659574468,Tasikmalaya,4
-0.4478361987587885,0.0,-0.7137560236674528,-0.2618595215361808,-0.6598269173858958,-0.6529889282251261,0.2941176470588235,0.0,Tasikmalaya,4
-0.5297529595407277,0.0,0.2862439763325471,0.0867550868961826,-0.6245797945042215,-0.6010599839756687,0.7647058823529411,1.3617021276595744,Tasikmalaya,4
-0.1732586443319985,0.0,0.0055296264809784,0.3690703909382519,-0.3780363490505853,-0.3845219863591936,0.1176470588235294,0.1702127659574468,Tasikmalaya,4
0.1436586657301377,-2.449956712131838,-0.257874892910662,-1.0959024804452533,0.0,0.0,0.2941176470588235,0.2978723404255319,Tasikmalaya,4
0.1436586657301377,-0.6203148091451861,-0.3954669553629023,1.6309309744197047,0.0,0.0,0.2352941176470588,0.2553191489361702,Tasikmalaya,4
0.1436586657301377,1.2093285786243562,0.0055299068238288,1.000000606825675,0.0,0.0,0.1176470588235294,0.3404255319148936,Tasikmalaya,4
0.1436586657301377,-0.6203148091451861,-1.2578746121947582,0.2031140780368703,0.0,0.0,0.1764705882352941,0.2127659574468085,Tasikmalaya,4
0.1436586657301377,-1.53513609059004,-1.2578746121947582,-0.4649734782079643,0.0,0.0,0.5882352941176471,0.2127659574468085,Tasikmalaya,4
0.1436586657301377,-1.53513609059004,0.0,0.0,0.0,0.0,1.7647058823529411,1.2765957446808511,Tasikmalaya,4
0.1436586657301377,-0.6203148091451861,-1.1885863091221458,-1.1587023579245372,0.0,0.0,0.1176470588235294,0.2127659574468085,Tasikmalaya,4
0.1436586657301377,-0.6203148091451861,-0.576163982102276,-1.4649716577357983,0.0796520409494605,0.0,0.0,0.1276595744680851,Tasikmalaya,4
1.312776708464134,0.0,0.1431219859857254,1.7037890635041202,1.0222172033083392,1.0436073756231945,2.0588235294117645,0.851063829787234,Tasikmalaya,4
