scaled_log_Land lease value (IDR),scaled_log_Labor cost (IDR),scaled_log_Seed purchase value (IDR),scaled_log_Fertilizer purchase value (IDR),scaled_log_Pesticide purchase value (IDR),scaled_log_Equipment rent value (IDR),scaled_log_Production value (IDR),scaled_log_Land area (m2),Regency,Regency_encoded
0.1959283892320411,0.8743870809979502,0.2001217481077514,0.1801307472181615,0.1599514799912687,0.418150289730383,0.4629516666620222,0.1871170349619912,Indramayu,1
0.7359473812424492,0.600337485498027,0.5175157650441414,0.3345084837787004,0.4568714715484157,1.15979961067429,0.8657606922202853,0.5045594442347225,Indramayu,1
0.7166415251488398,1.4343709661526929,0.6611136981914286,0.6411224021885938,0.5912064198430405,0.4513632553978375,0.8127275871574745,0.6481910582888302,Indramayu,1
0.6229164193751376,0.600337485498027,0.7265779423115593,0.6027900251417223,0.6524478073571774,0.2517269242288995,1.107487495382222,0.7136724767923494,Indramayu,1
0.7433396842721954,0.7546742095400284,0.809545762591608,0.7895543215620355,0.7300636843732529,0.33914839376286,0.3158614196494664,0.7966634617297054,Indramayu,1
0.5526057424342169,0.010950158005602,0.6307986315737443,0.6108073628611034,0.8132418699476455,0.8743529467980177,0.6425200692144076,0.6178684011807232,Indramayu,1
0.9982614482894756,0.3828121167124172,0.1386468850181401,0.3026381644524906,0.0539762332310326,0.9909721826834536,0.3483395742353655,0.0738287863678153,Indramayu,1
-0.5176833415346408,-0.7775053814811207,-1.3956374981021122,-1.415635059689004,-1.332864179155514,0.4499153072869737,-1.620058652082087,-1.40682157542589,Indramayu,1
-1.361360027226622,-1.224344592794469,-1.482474870029455,-1.5024737529729184,-1.4140987661166105,0.9909721826834536,-1.620058652082087,-1.493293020027747,Indramayu,1
0.8965058309814604,0.8743870809979502,0.086838971626637,0.3345084837787004,0.0539762332310326,0.9909721826834536,0.1926768655758177,0.0738287863678153,Indramayu,1
0.7359473812424492,1.344061805274125,0.5175157650441414,0.4975245901377376,0.7072664219840742,0.4902128697899174,0.6540803986952644,0.5045594442347225,Indramayu,1
0.8965058309814604,0.1087626285091516,0.086838971626637,0.066847990426459,0.0539762332310326,0.2966007262169357,0.1926768655758177,0.0738287863678153,Indramayu,1
0.7991973355273901,0.8743870809979502,1.1572550830591617,1.1372632457245568,1.3057387721809812,0.7281189173456418,1.3366103386456163,1.1444830211398032,Indramayu,1
