scaled_log_Value of milled grains (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_nilaiberashasilgiling,scaled_log_Total revenue of milling machine (IDR),scaled_log_Amount of milled rice (Kg),scaled_log_Number of machines (unit),Regency,Regency_encoded
-0.1960067383696672,-0.393951589261056,0.0,-0.225195451165306,-0.1199727467719124,-0.2540646954328895,0.0,Karawang,2
-0.325351389771745,0.4655580469914651,0.6611726032432951,-0.3166876788028472,-0.2890648283687545,-0.3448916785563136,0.0,Karawang,2
-0.3407987998301254,0.2621886910890213,0.0,-0.3772708576260568,-0.2890648283687545,-0.4191002456477625,0.0,Karawang,2
-0.3650988218271391,0.2621886910890213,-0.3388279377669158,-0.39820813503568,-0.2890648283687545,-0.4191002456477625,0.0,Karawang,2
-0.6541636441879949,0.4617526822360209,-0.0463466113846876,-0.6736351628888188,-0.5781296166382527,-0.7011953754960872,0.0,Karawang,2
-1.3423754198928832,0.4655580469914651,0.4536536891765488,-1.3601638965357157,-1.2493168143914282,-1.355738404206904,0.0,Karawang,2
0.4024699979469363,0.1417474431401093,-0.4997919790402192,0.5000296653420593,0.5224427841772796,0.4766605049732669,0.4150374992788436,Subang,3
0.382122918863013,-0.5344419530085349,-1.4997903560136423,0.4415651907137106,0.4581569500648625,0.4108672953540389,0.4150374992788436,Subang,3
0.3192248877479445,0.0179801617611432,-0.8388277574302458,0.4383710353580439,0.4581569500648625,0.4151684107016748,0.4150374992788436,Subang,3
0.345836355812005,-0.0688839599317861,-0.3388279377669158,0.4007862013853223,0.4218703833617473,0.3701985883564559,0.4150374992788436,Subang,3
0.3060889231500187,0.0972808931281638,0.0,0.3310115163319291,0.1527357858478973,0.330109216957207,0.4150374992788436,Subang,3
0.3060889231500187,-0.7006067756890473,0.3221363920451323,0.3268342853411233,0.3821229468132374,0.2964469740587027,0.0,Subang,3
0.2431908920802084,-0.1649077895803591,-0.8388277574302458,0.3437684115961264,0.3821229468132374,0.3428315632772652,0.0,Subang,3
0.2621501748625689,-0.1649077895803591,-0.8388277574302458,0.3540568657821296,0.3821229468132374,0.3235957716783318,0.4150374992788436,Subang,3
0.2363461270066677,-0.1649077895803591,-1.20730999142434,0.3333828498263533,0.356318896491524,0.3029777840703229,0.4150374992788436,Subang,3
0.2621501748625689,-0.3695341801891673,0.1611722425697541,0.320807961182512,0.3487425414853329,0.2904369916657426,0.0,Subang,3
0.2182114265957119,-0.2609316169786037,-1.3388268557485212,0.3175811663141926,0.3381841943820011,0.2872189482681246,0.4150374992788436,Subang,3
0.1690920850792646,-0.3682771202015449,-0.9997916183670832,0.2596672947490062,0.2890648484183882,0.2294623059741858,0.0,Subang,3
0.2130308333203789,0.8939116257450744,-0.9997916183670832,0.2495880808019066,0.2890648484183882,0.2194104886391593,0.7369655941662059,Subang,3
0.2130308333203789,0.0,-0.3388279377669158,0.3406724724298063,0.2890648484183882,0.3102476472214379,0.7369655941662059,Subang,3
0.1477011196543473,0.2621886910890213,-1.4997903560136423,0.2505054708306742,0.2676738811320302,0.2203253846587937,0.4150374992788436,Subang,3
0.1120791502976377,-0.903976065804321,-1.707308127952574,0.2149977769850232,0.2333779271661908,0.184914286006307,0.0,Subang,3
0.1328055221125063,0.2621886910890213,-0.8388277574302458,0.0744213665464839,-0.3984792168986526,0.122163442414601,0.0,Subang,3
-0.0362865628614465,0.2621886910890213,-0.8388277574302458,0.0,0.0930580943849234,0.0479456156175063,0.4150374992788436,Subang,3
-0.0760339952959619,0.8939116257450744,-0.8388277574302458,-0.1077672477305304,0.0,-0.1369644246448154,-0.5849625007211564,Subang,3
-0.0760339952959619,0.8939116257450744,-0.8388277574302458,-0.1077672477305304,-0.2293871433216627,-0.1369644246448154,0.7369655941662059,Subang,3
-0.0727110104345959,1.2634458693121096,0.6611726032432951,-0.1195936593558388,0.0596776903936608,-0.1369644246448154,0.4150374992788436,Subang,3
0.671187748869462,-0.3695341801891673,0.0,0.6370367856766409,0.7472218118496742,0.5924173868445628,-0.5849625007211564,Tasikmalaya,4
0.5020956629793001,-1.001256924711661,0.0,0.471531026950948,-0.0333804033229408,0.4273580938923046,0.0,Tasikmalaya,4
0.5020956629793001,-0.3695341801891673,0.0,0.5786248206674158,0.5781297068615929,0.5341628396025176,-0.5849625007211564,Tasikmalaya,4
0.382122918863013,-1.001256924711661,0.9536541099624108,0.3541028224501908,0.4581569500648625,0.3102476472214379,-0.5849625007211564,Tasikmalaya,4
0.382122918863013,-1.001256924711661,0.9536541099624108,0.4170251915673603,0.4581569500648625,0.3729996292331515,-0.5849625007211564,Tasikmalaya,4
