scaled_log_Value of rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_Precipitation quality (%),Regency,Regency_encoded
0.0,0.0,-0.3428627888049814,1.6285564364905265,0.0,-0.6666666666666666,Indramayu,1
1.3604588261967905,4.923343568291756,-0.3773862853374635,0.980488624958568,0.4986026741038149,-0.6666666666666666,Indramayu,1
0.0,0.0,0.5318961175324852,0.8515374920454248,1.01608369073967,-0.6666666666666666,Indramayu,1
2.7993812990535485,-3.106283295178648,0.2927235540676621,0.3612931618843197,1.2599679569818112,-0.6666666666666666,Indramayu,1
3.304181131168387,1.0,0.5318961175324852,1.1383120591778852,1.5163749587709776,-0.6666666666666666,Indramayu,1
3.6623423120066914,0.0,0.5318961175324852,0.8515374920454248,1.6982986217554232,-0.6666666666666666,Indramayu,1
4.167142144313656,4.923343568291756,-0.6165588269386689,1.1383120591778852,1.954705623624436,-0.6666666666666666,Indramayu,1
0.0,0.0,0.0,0.3612931618843197,2.1380648774505024,-0.6666666666666666,Indramayu,1
5.030103157651055,9.846687634519082,0.0,1.1383120591778852,2.415006946624513,-0.6666666666666666,Indramayu,1
5.292448644772481,7.212568158853943,0.9888108573918236,2.875895304100548,2.5713566513878443,0.0,Indramayu,1
0.0,0.0,0.2927235540676621,0.0,0.1411109552157537,-0.6666666666666666,Indramayu,1
0.6359725717096748,0.0,0.0,-0.490244165130808,0.0666276166825052,-0.3333333333333333,Karawang,2
0.6094824326069912,0.0,0.0,-0.9348417892706214,0.0666276166825052,-0.6666666666666666,Karawang,2
2.2815448079807017,7.212568158853943,-1.818564532444736,0.4902442830095795,0.8766613273913938,0.0,Karawang,2
0.2778113928634335,-4.395507064147445,0.0,-0.490244165130808,-0.1152960453278217,0.0,Karawang,2
1.43162045533046,7.639693191389211,0.0,0.5682904904480284,0.4725215561223068,-0.6666666666666666,Karawang,2
0.0,-1.289224142420221,0.3936823750108706,1.1383120591778852,1.4169743361463316,1.3333333333333333,Karawang,2
1.7767449763552825,0.0,-1.2866685788893375,-0.490244165130808,0.6460692357169165,-0.3333333333333333,Karawang,2
0.0,0.0,0.0,0.2034697512407677,0.1494869382490588,0.0,Karawang,2
0.6014242195688673,0.0,-1.818564532444736,0.3612931618843197,0.065044693519283,-0.6666666666666666,Karawang,2
1.1407724020245764,0.0,-1.5793920564343578,0.3612931618843197,0.3037729008716205,-0.6666666666666666,Karawang,2
0.6094824326069912,0.0,0.0,0.0,0.0341908927733104,-0.6666666666666666,Karawang,2
-0.2943015613536806,0.0,0.0,-0.490244165130808,-0.14111095504009,2.0,Karawang,2
-0.2269884352672791,0.0,0.0,-0.9348417892706214,-0.3717030451687578,-0.6666666666666666,Karawang,2
2.2815448079807017,4.106283967391466,-1.818564532444736,0.4902442830095795,0.0,0.0,Karawang,2
0.5335869973231718,1.8170595262099556,-0.3773862853374635,-0.490244165130808,0.2794050797478637,1.6666666666666667,Subang,3
-0.1023855740120661,0.5278352593058754,-0.5156000157126223,-1.2672622136978184,0.112361573943751,2.6666666666666665,Subang,3
-0.1023855740120661,-0.2892242171105316,-0.3773862853374635,-0.7770185200815122,-0.1069200623130089,2.0,Subang,3
-0.6994490519480299,-0.2892242171105316,-0.5156000157126223,-0.7770185200815122,-0.288843723990505,2.0,Subang,3
1.623536444154204,1.8170595262099556,0.7801470411521988,0.8515374920454248,0.85208032520134,2.333333333333333,Subang,3
